id,entry_date,entry_time,total,items,created_at
e_1789145755441,2026-09-11,09:32,46,"[{""qty"": 2, ""name"": ""Cigarettes & Tobacco"", ""amount"": 46}]",2026-09-11 16:56:03.28529+00
e_1789144693466,2026-09-11,22:38,158,[],2026-09-11 16:38:14.0149+00
e_1789144604562,2026-09-11,22:36,329,[],2026-09-11 16:36:45.268425+00
e_1789144565871,2026-09-11,22:34,875,[],2026-09-11 16:36:06.579485+00
e_1789144489222,2026-09-11,18:28,2000,[],2026-09-11 16:34:50.44533+00
e_1789139442265,2026-09-11,21:10,401,[],2026-09-11 15:10:43.17041+00
e_1789139421960,2026-09-11,21:10,656,[],2026-09-11 15:10:22.76818+00
e_1789131457778,2026-09-11,18:57,209,[],2026-09-11 12:57:38.540296+00
e_1789131441537,2026-09-11,18:57,452,[],2026-09-11 12:57:22.520007+00
e_1789129648447,2026-09-11,18:27,1058,[],2026-09-11 12:27:29.231137+00
e_1789129582349,2026-09-11,18:24,1051,[],2026-09-11 12:26:23.703735+00
e_1789058520146,2026-09-10,22:38,622,[],2026-09-10 16:42:01.182826+00
e_1789056092098,2026-09-10,22:01,255,[],2026-09-10 16:01:30.922372+00
e_1789056074257,2026-09-10,21:53,466,[],2026-09-10 16:01:14.152136+00
e_1789052276451,2026-09-10,20:57,739,[],2026-09-10 14:57:55.186375+00
e_1789052262103,2026-09-10,20:57,1257,[],2026-09-10 14:57:41.032041+00
e_1789044642740,2026-09-10,18:50,654,[],2026-09-10 12:50:41.61074+00
e_1789044576783,2026-09-10,18:49,335,[],2026-09-10 12:49:35.908525+00
e_1789024196980,2026-09-10,13:09,853,[],2026-09-10 07:09:56.00145+00
e_1789024188107,2026-09-10,13:09,1170,[],2026-09-10 07:09:47.335175+00
e_1788970929809,2026-09-09,22:22,255,[],2026-09-09 16:22:09.466018+00
e_1788970898493,2026-09-08,08:25,380,[],2026-09-09 16:21:39.034165+00
e_1788967660648,2026-09-09,21:27,1568,[],2026-09-09 15:27:40.16733+00
e_1788967645332,2026-09-09,21:27,552,[],2026-09-09 15:27:24.980243+00
e_1788953298991,2026-09-09,17:27,180,[],2026-09-09 11:28:18.919922+00
e_1788953214304,2026-09-09,17:26,400,[],2026-09-09 11:26:54.475373+00
e_1788937383107,2026-09-09,13:02,650,[],2026-09-09 07:03:03.111298+00
e_1788937375113,2026-09-09,13:02,256,[],2026-09-09 07:02:55.142941+00
e_1788885199686,2026-09-08,22:32,740,[],2026-09-08 16:33:20.017917+00
e_1788885153876,2026-09-08,08:25,317,[],2026-09-08 16:32:35.086047+00
e_1788879992109,2026-09-08,21:05,840,[],2026-09-08 15:06:32.396062+00
e_1788879914042,2026-09-08,21:05,800,[],2026-09-08 15:05:14.45165+00
e_1788866765477,2026-09-08,17:25,807,[],2026-09-08 11:26:05.924445+00
e_1788866754293,2026-09-08,17:25,413,[],2026-09-08 11:25:54.754226+00
e_1788866743622,2026-09-08,17:25,983,[],2026-09-08 11:25:44.967644+00
e_1788796798883,2026-09-07,21:59,593,[],2026-09-07 16:00:00.041379+00
e_1788796669914,2026-09-07,21:57,426,[],2026-09-07 15:57:50.722935+00
e_1788796649437,2026-09-05,19:15,426,[],2026-09-07 15:57:31.185688+00
e_1788790983070,2026-09-07,20:22,770,[],2026-09-07 14:23:04.194629+00
e_1788790930573,2026-09-07,20:21,418,[],2026-09-07 14:22:11.698177+00
e_1788790111718,2026-09-07,20:08,510,[],2026-09-07 14:08:33.026193+00
e_1788790024555,2026-09-05,19:15,510,[],2026-09-07 14:07:06.056717+00
e_1788784079874,2026-09-07,18:24,311,[],2026-09-07 12:28:01.136518+00
e_1788783896970,2026-09-07,18:24,90,[],2026-09-07 12:24:57.841554+00
e_1788783887034,2026-09-07,18:24,295,[],2026-09-07 12:24:48.082187+00
e_1788764485259,2026-09-07,13:01,40,"[{""qty"": 2, ""name"": ""Biscuits & Bakery"", ""amount"": 40}]",2026-09-07 07:01:24.440694+00
e_1788764469186,2026-09-07,12:58,393,[],2026-09-07 07:01:09.276418+00
e_1788764303201,2026-09-07,12:58,408,[],2026-09-07 06:58:22.477698+00
e_1788748745852,2026-09-07,08:38,66,"[{""qty"": 7, ""name"": ""Cigarettes & Tobacco"", ""amount"": 66}]",2026-09-07 02:39:05.303467+00
e_1788748726943,2026-09-07,08:38,225,[],2026-09-07 02:38:46.137918+00
e_1788748643832,2026-09-05,19:15,225,[],2026-09-07 02:37:23.431382+00
e_1788711966062,2026-09-05,19:15,75,[],2026-09-06 16:26:06.454822+00
e_1788708826590,2026-09-06,21:32,952,[],2026-09-06 15:33:46.21803+00
e_1788703290437,2026-09-06,20:00,123,[],2026-09-06 14:01:30.043232+00
e_1788703227061,2026-09-06,20:00,8300,[],2026-09-06 14:00:26.648486+00
e_1788703200558,2026-09-05,19:15,8300,[],2026-09-06 14:00:00.928253+00
e_1788697474440,2026-09-06,18:24,81,[],2026-09-06 12:24:34.216885+00
e_1788697453729,2026-09-06,16:59,295,[],2026-09-06 12:24:14.460469+00
